player_clean	country	role	matches_batted	runs	bat_avg	strike_rate	x4s	x6s	matches_bowled	overs	wickets	economy	bowling_sr
Liton Das	Bangladesh	Batter	53	1685	31.79245283	86.67695473	181	33	0	0	0	0	0
Mehedi Hasan Miraz	Bangladesh	All-Rounder	45	749	16.64444444	82.76243094	73	15	59	468.8333333	72	5.089228582	39.06944444
Tanzid Hasan	Bangladesh	Utility	12	174	14.5	99.42857143	28	3	0	0	0	0	0
Nazmul Hossain Shanto	Bangladesh	Batter	30	923	30.76666667	76.78868552	102	7	4	6.666666667	1	4.35	40
Shakib Al Hasan	Bangladesh	All-Rounder	42	1757	41.83333333	86.59438147	174	15	40	369.3333333	55	4.705776173	40.29090909
Mushfiqur Rahim	Bangladesh	Batter	56	1986	35.46428571	81.93069307	154	23	0	0	0	0	0
Towhid Hridoy	Bangladesh	Batter	17	593	34.88235294	85.44668588	42	14	0	0	0	0	0
Mahmudullah	Bangladesh	All-Rounder	50	1641	32.82	77.84629981	108	45	19	55.83333333	5	6.394029851	67
Taskin Ahmed	Bangladesh	Bowler	20	151	7.55	60.15936255	10	7	30	259.3333333	39	5.043701799	39.8974359
Mustafizur Rahman	Bangladesh	Bowler	27	97	3.592592593	49.23857868	12	1	54	446.6666667	82	5.574626866	32.68292683
Shoriful Islam	Bangladesh	Bowler	16	70	4.375	78.65168539	5	3	24	181.6666667	35	5.889908257	31.14285714
DP Conway	New Zealand	Batter	30	1226	40.86666667	86.95035461	151	16	0	0	0	0	0
R Ravindra	New Zealand	All-Rounder	17	735	43.23529412	106.2138728	72	21	17	128.5	16	5.976653696	48.1875
KS Williamson	New Zealand	Batter	33	1547	46.87878788	75.27980535	139	12	4	22.16666667	2	4.330827068	66.5
DJ Mitchell	New Zealand	All-Rounder	34	1576	46.35294118	96.68711656	128	44	14	50.5	13	5.544554455	23.30769231
GD Phillips	New Zealand	All-Rounder	23	664	28.86956522	96.37155298	51	26	19	75.16666667	12	6.186252772	37.58333333
P Nissanka	Sri Lanka	Batter	41	1386	33.80487805	82.54913639	178	7	0	0	0	0	0
MDKJ Perera	Sri Lanka	Batter	32	1066	33.3125	93.67311072	130	7	0	0	0	0	0
BKG Mendis	Sri Lanka	Batter	56	1820	32.5	83.67816092	170	35	0	0	0	0	0
S Samarawickrama	Sri Lanka	Batter	20	773	38.65	94.49877751	75	6	0	0	0	0	0
KIC Asalanka	Sri Lanka	Batter	38	1312	34.52631579	85.63968668	102	28	9	24.5	5	4.571428571	29.4
DM de Silva	Sri Lanka	All-Rounder	50	1179	23.58	76.31067961	118	9	46	249.5	33	5.082164329	45.36363636
M Theekshana	Sri Lanka	All-Rounder	17	160	9.411764706	46.51162791	11	0	28	248.3333333	47	4.477852349	31.70212766
PVD Chameera	Sri Lanka	Bowler	18	137	7.611111111	54.58167331	10	3	22	176.5	30	5.694050992	35.3
CAK Rajitha	Sri Lanka	Bowler	15	104	6.933333333	58.42696629	12	1	24	183.6666667	31	6.174228675	35.5483871
